district,county_id,county,rep,dem,neighbors
1,1,Kenosha,36130,41121,"5,3"
1,2,Milwakee,30150,18904,"6,47,3"
1,3,Racine,50294,47722,"5,6,2"
1,4,Rock,18888,20928,"5,35,7,8"
1,5,Walworth,27935,16575,"1,3,6,35,4"
1,6,Waukesha,37026,13164,"3,2,38,34,35,5"
2,7,Dane,81979,204185,"4,35,34,40,13,9,8,12"
2,8,Green,8005,10245,"12,7,9,10"
2,9,Iowa,4330,7009,"10,7,13,11"
2,10,Lafayette,3320,3674,"8,9,20"
2,11,Richland,598,825,"9,13,30,17,20"
2,12,Rock,13647,22401,"5,35,7,8"
2,13,Sauk,12804,17083,"9,7,40,38,30"
3,14,Adams,3799,5183,"40,45,49,27,31,22"
3,15,Buffalo,2252,4290,"29,19,25"
3,16,Chippewa,6094,11053,"19,56,73,70,52,18"
3,17,Crawford,2158,5203,"20,28,30"
3,18,Dunn,7913,12673,"25,3,19,16,52,72,26"
3,19,Eau Claire,17720,33641,"29,21,56,16,18,25,15"
3,20,Grant,7117,14529,"10,9,28,17"
3,21,Jackson,2345,5365,"23,24,22,31,56,19,29"
3,22,Juneau,2995,5238,"13,14,31,21,24,30"
3,23,La Crosse,19767,41057,"30,24,21,29"
3,24,Monroe,6559,9661,"30,22,21,23"
3,25,Pepin,1278,2186,"15,19,18,26"
3,26,Pierce,8082,11693,"25,18,72"
3,27,Portage,13727,21920,"14,49,86,65,31"
3,28,Richland,2285,4064,"20,9,13,30,17"
3,29,Trempealeau,4100,8494,"23,21,19,15"
3,30,Vernon,4418,9224,"17,28,13,24,22,23"
3,31,Wood,9104,12238,"22,14,27,65,56,21"
4,32,Milwaukee,80787,235257,"6,47,3"
5,34,Dodge,13351,5725,"35,6,38,42,43,40,7"
5,35,Jefferson,25237,15310,"4,5,6,34,7"
5,36,Milwaukee,39725,31415,"6,47,3"
5,37,Walworth,2366,3108,"1,3,6,35,4"
5,38,Washington,56187,18846,"6,47,48,42,34"
5,39,Waukesha,113469,44074,"3,2,38,34,35,5"
6,40,Columbia,13709,14699,"7,34,43,44,14,13"
6,41,Dodge,13573,9481,"35,6,38,42,43,40,7"
6,42,Fond Du Lac,33412,16050,"34,,38,48,78,86,43"
6,43,Green Lake,6091,3048,"40,41,42,87,49,45"
6,44,Manitowoc,25429,14927,"48,78,77,80"
6,45,Marquette,4294,2999,"40,43,49,14"
6,46,Milwaukee,660,423,"6,47,3"
6,47,Ozaukee,35635,16607,"46,38,48"
6,48,Sheboygan,37673,21267,"47,38,42,78,44"
6,49,Waushara,7160,4009,"45,43,87,86,27,14"
6,50,Winnebago,45824,32411,"42,43,78,86,49"
7,51,Ashland,3172,5051,"53,71,60,69"
7,52,Barron,11621,9708,"68,18,16,70,75,54"
7,53,Bayfield,4026,5573,"57,71,51"
7,54,Burnett,4526,3587,"68,52,75,57"
7,55,Chippewa,6966,5249,"19,56,73,70,52,18"
3,56,Clark,7823,5702,"73,65,31,21,19,16"
7,57,Douglas,8936,13381,"54,75,53"
7,58,Florence,1506,868,"59,81"
7,59,Forest,2327,1951,"74,67,63,58,81,83"
7,60,Iron,1908,1465,"51,69,74"
7,61,Jackson,531,375,"23,24,22,31,56,19,29"
7,62,Juneau,1451,1101,"13,14,31,21,24,30"
7,63,Langlade,6201,3615,"59,67,64,65,85,82,83"
7,64,Lincoln,8517,6307,"69,67,63,65,73"
7,65,Marathon,40878,27214,"56,73,64,63,85,27,31"
7,66,Monroe,1270,849,"30,22,21,23"
7,67,Oneida,11570,9033,"74,59,63,65,73,69"
7,68,Polk,12181,9152,"72,52"
7,69,Price,4045,3277,"51,60,74,67,64,73,70,71"
7,70,Rusk,3611,3217,"52,71,69,73,16"
7,71,Sawyer,4660,3834,"53,51,69,70,75"
7,72,St.Croix,25679,18567,"68,18,26"
7,73,Taylor,6090,3174,"70,69,64,65,56"
7,74,Vilas,8005,5276,"60,69,67,59"
7,75,Washburn,4788,3939,"54,52,71,57"
7,76,Wood,9432,6059,"22,14,27,65,56,21"
8,77,Brown,67021,55730,"78,44,80,83,85,84"
8,78,Calumet,15354,10245,"87,84,77,42,48,44"
8,79,Door,8636,8544,"80,"
8,80,Kewaunee,5848,4780,"44,77,79"
8,81,Marinette,10617,8807,"83,58,59"
8,82,Menominee,238,925,"85,83,63"
8,83,Oconto,10839,7885,"82,85,77,81,63,58"
8,84,Outgamie,50666,39288,"87,78,77,85,86"
8,85,Shawano,11172,7846,"87,84,83,82,63,65"
8,86,Waupaca,14342,9919,"85,84,87,49,27"
8,87,Winnebago,4141,2318,"78,84,86,49,43,42"
